titulo,titulo_abreviado,link,precio_actual,precio_sin_descuento,criticas,calificacion,porcentaje_de_descuento
Asus GL503GE-RS71 Strix Scar 15.6in FHD 120Hz Intel i5-8750H NVIDIA GTX 1050Ti 8GB DDR4 2666MHz 1TB SSHD (Renewed),Asus GL503GE-RS71 St,/GL503GE-RS71-15-6in-i5-8750H-2666MHz-Renewed/dp/B07MCJJFTC/ref=sr_1_54?dchild=1&keywords=laptop+asus+a15&qid=1617699378&s=pc&sr=1-54,899.66,1999.11,0.0,0.0,54.9969736532757
"2019 ASUS TUF 17.3"" FHD Gaming Laptop Computer  AMD Ryzen 7 3750H Quad-Core up to 4.0GHz  8GB DDR4 RAM  512GB PCIE SSD  GeForce GTX 1650 4GB  802.11ac WiFi  Bluetooth 4.2  HDMI  Windows 10 (Renewed)","2019 ASUS TUF 17.3"" ",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg2_1?ie=UTF8&adId=A03132131SZ3O8H025RB7&url=%2FASUS-Computer-Quad-Core-802-11ac-Bluetooth%2Fdp%2FB084YZCP5J%2Fref%3Dsr_1_41_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2Basus%2Ba15%26qid%3D1617699370%26s%3Dpc%26sr%3D1-41-spons%26psc%3D1&qualifier=1617699370&id=1897678836463514&widgetName=sp_mtf,959.0,1299.99,1.0,0.0,26.230201770782855
"MSI Creator 15 Professional Laptop: 15.6"" 4K UHD Ultra-Thin Bezel Display  Intel Core i7-10875H  GeForce RTX 2070 Super  32GB RAM  1TB NVMe SSD  Thunderbolt 3  100% Adobe RGB  Win10 PRO (A10SFS-287)",MSI Creator 15 Profe,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg2_1?ie=UTF8&adId=A08582333IVSKZHWU0UXF&url=%2FMSI-A10SFS-287-Professional-i7-10875H-Win10PRO%2Fdp%2FB08DHY3VF6%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2Basus%2Ba15%26qid%3D1617699370%26s%3Dpc%26sr%3D1-25-spons%26psc%3D1&qualifier=1617699370&id=1897678836463514&widgetName=sp_atf_next,1699.0,2199.0,73.0,0.0,22.737608003638016
Fusion5 14.1inch A90B+ Pro 64GB Windows 10 Laptop - 4GB RAM  64GB Storage  Full HD IPS  Bluetooth  2MP Webcam  Dual Band WiFi Laptop,Fusion5 14.1inch A90,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg2_1?ie=UTF8&adId=A074373216YJAVIEFGT5V&url=%2FFusion5-14-1inch-A90B-Windows-Laptop%2Fdp%2FB08GSRRKSR%2Fref%3Dsr_1_46_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2Basus%2Ba15%26qid%3D1617699370%26s%3Dpc%26sr%3D1-46-spons%26psc%3D1%26smid%3DAZKDH5LYQSZB0&qualifier=1617699370&id=1897678836463514&widgetName=sp_btf,274.95,349.99,845.0,0.0,21.440612588931117
"MSI GS66 Stealth 10SE-442 15.6"" 240Hz 3ms Ultra Thin and Light Gaming Laptop Intel Core i7-10875H RTX2060 16GB 512GB NVMe SSD Win10PRO VR Ready",MSI GS66 Stealth 10S,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A10233061FTP76IOCNUSO&url=%2FMSI-GS66-Stealth-10SE-442-i7-10875H%2Fdp%2FB0895Q3HW5%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2Basus%2Ba15%26qid%3D1617699361%26s%3Dpc%26sr%3D1-12-spons%26psc%3D1&qualifier=1617699361&id=6519247933587755&widgetName=sp_mtf,1400.55,1699.0,27.0,0.0,17.56621542083579
Asus FX504 TUF Gaming Laptop  15.6” Full HD  8th Gen Intel Core i7-8750H Processor  GeForce GTX 1050 Ti  8GB DDR4  256GB M.2 SSD  Gigabit WiFi  Windows 10 - FX504GE-ES72 Black Matter Edition,Asus FX504 TUF Gamin,/i7-8750H-Processor-GeForce-Gigabit-Windows/dp/B07DY11M1F/ref=sr_1_33?dchild=1&keywords=laptop+asus+a15&qid=1617699370&s=pc&sr=1-33,886.0,999.99,326.0,4.3,11.399113991139913
2 in 1 Laptop Windows 10 Laptop Computers  Ezbook X1 Full HD Touchscreen Laptop Display 11.6 inch 6GB RAM 128GB ROM,2 in 1 Laptop Window,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg2_1?ie=UTF8&adId=A01249102T2OH9DNP32RD&url=%2FLaptop-Windows-Computers-X1-Display%2Fdp%2FB08DLV3B3K%2Fref%3Dsr_1_36_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2Basus%2Ba15%26qid%3D1617699370%26s%3Dpc%26sr%3D1-36-spons%26psc%3D1&qualifier=1617699370&id=1897678836463514&widgetName=sp_mtf,304.0,334.0,133.0,0.0,8.982035928143716
ROG Zephyrus G15 (2020) Ultra Slim Gaming Laptop  15.6” 144Hz FHD Display  GeForce GTX 1660 Ti Max-Q  AMD Ryzen 7 4800HS  16GB DDR4  1TB PCIe NVMe SSD  Gig+ Wi-Fi 6  Windows 10 Home  GA502IU-ES76,ROG Zephyrus G15 (20,/Zephyrus-Gaming-GeForce-Windows-GA502IU-ES76/dp/B0863S8HJ3/ref=sr_1_20?dchild=1&keywords=laptop+asus+a15&qid=1617699361&s=pc&sr=1-20,1238.0,1299.99,351.0,4.4,4.768498219217079
"2019 ASUS TUF 15.6"" FHD Gaming Laptop Computer  AMD Ryzen 7 3750H Quad-Core up to 4.0GHz  16GB DDR4 RAM  256GB PCIe SSD  GeForce GTX 1650 4GB  802.11ac WiFi  Bluetooth 4.2  USB 3.1  HDMI  Windows 10","2019 ASUS TUF 15.6"" ",/ASUS-Computer-Quad-Core-802-11ac-Bluetooth/dp/B07VWGTBJL/ref=sr_1_61?dchild=1&keywords=laptop+asus+a15&qid=1617699378&s=pc&sr=1-61,1199.0,1199.0,0.0,0.0,0.0
"Puccy Tempered Glass Screen Protector Film  compatible with ASUS TUF Gaming A15 FA506IV 15.6"" （Active Area Cover Only） Protective Protectors Guard",Puccy Tempered Glass,/Puccy-Protector-compatible-Protective-Protectors/dp/B08THF2XX8/ref=sr_1_65?dchild=1&keywords=laptop+asus+a15&qid=1617699378&s=pc&sr=1-65,47.08,47.08,0.0,0.0,0.0
