titulo,titulo_abreviado,link,precio_actual,precio_sin_descuento,criticas,calificacion,AmazonChoice,Date,porcentaje_de_descuento
Moto G7 Plus | Unlocked | Made for US by Motorola | 4/64GB | 16MP Camera | 2019 | Black,Moto G7 Plus | Unloc,/Moto-Unlocked-Motorola-Camera-Black/dp/B08GL2HKLT/ref=sr_1_25?dchild=1&keywords=smartphone&qid=1617939343&sr=8-25,119.99,249.99,642.0,4.5,False,8/4/2021,52.00208008320333
"LG G8 ThinQ LMG820TM (128GB  6GB RAM) 6.1"" 4G LTE Android Smartphone (Aurora Black  GSM Unlocked) (Renewed)",LG G8 ThinQ LMG820TM,/LG-LMG820TM-Android-Smartphone-Unlocked/dp/B08S9FBRBD/ref=sr_1_42?dchild=1&keywords=smartphone&qid=1617939348&sr=8-42,219.0,349.0,13.0,4.2,False,8/4/2021,37.24928366762178
The Smartphone: Anatomy of an Industry,The Smartphone: Anat,/Smartphone-Anatomy-Industry-Elizabeth-Woyke/dp/1595589635/ref=sr_1_47?dchild=1&keywords=smartphone&qid=1617939348&sr=8-47,12.04,18.95,0.0,4.5,False,8/4/2021,36.46437994722955
Moto G Stylus | 2020 | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | Indigo,Moto G Stylus | 2020,/Stylus-Unlocked-Motorola-Camera-Indigo/dp/B084CVPLLC/ref=sr_1_35?dchild=1&keywords=smartphone&qid=1617939343&sr=8-35,199.99,299.99,0.0,4.5,True,8/4/2021,33.33444448148272
"Unlocked Smartphones Ulefone Note 9P (2020) Android 10 Unlocked Cell phones  Triple Rear Camera Triple Card Slots  6.52"" Waterdrop Full-Screen Dual SIM Phones  4500mAh Global Bands  US Version - Green",Unlocked Smartphones,/Smartphones-Ulefone-Note-9P-Full-Screen/dp/B08BBXK6RQ/ref=sr_1_44?dchild=1&keywords=smartphone&qid=1617939348&sr=8-44,135.99,199.99,0.0,4.1,False,8/4/2021,32.001600080003996
"Samsung Galaxy A10s A107M - 32GB  6.2"" HD+ Infinity-V Display  13MP+2MP Dual Rear +8MP Front Cameras  GSM Unlocked Smartphone - Blue",Samsung Galaxy A10s ,/Samsung-Galaxy-A10s-A107M-Infinity-V/dp/B07XQHM1CV/ref=sr_1_15?dchild=1&keywords=smartphone&qid=1617939336&sr=8-15,137.0,199.99,0.0,4.3,False,8/4/2021,31.496574828741444
"TCL 10L  Unlocked Android Smartphone with 6.53"" FHD + LCD Display  48MP Quad Rear Camera System  64GB+6GB RAM  4000mAh Battery - Arctic White",TCL 10L  Unlocked An,/TCL-Unlocked-Android-Smartphone-Display/dp/B087LY84RT/ref=sr_1_23?dchild=1&keywords=smartphone&qid=1617939343&sr=8-23,174.99,249.99,0.0,4.4,False,8/4/2021,30.00120004800192
Motorola Edge | Unlocked | Made for US by Motorola | 6/256GB | 64MP Camera | 2020 | Solor Black,Motorola Edge | Unlo,/Motorola-Unlocked-256GB-Camera-Solor/dp/B08B9SGGRS/ref=sr_1_31?dchild=1&keywords=smartphone&qid=1617939343&sr=8-31,490.19,699.99,993.0,4.0,True,8/4/2021,29.971856740810594
(Free $20 Airtime Activation Promotion) TracFone Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,(Free $20 Airtime Ac,/Tracfone-Samsung-Galaxy-Prepaid-Smartphone/dp/B088NKZT13/ref=sr_1_26?dchild=1&keywords=smartphone&qid=1617939343&sr=8-26,59.0,79.99,0.0,4.5,False,8/4/2021,26.240780097512186
Moto G Fast | 2020 | Unlocked | Made for US by Motorola | 3/32GB | 16MP Camera | White,Moto G Fast | 2020 |,/Moto-Unlocked-Motorola-Camera-White/dp/B086H4C8CX/ref=sr_1_30?dchild=1&keywords=smartphone&qid=1617939343&sr=8-30,149.99,199.99,0.0,4.6,True,8/4/2021,25.001250062503118
